date,Nature,Average_depth_in_snow_making_area
7-Jun,12,50
8-Jun,12,47
9-Jun,12,47
10-Jun,12,47
11-Jun,12,47
12-Jun,11,46
13-Jun,10,45
14-Jun,10,45
15-Jun,10,45
16-Jun,10,45
17-Jun,9,46
18-Jun,9,46
19-Jun,9,46
20-Jun,9,46
21-Jun,9,46
22-Jun,5,39
23-Jun,3,35
24-Jun,3,35
25-Jun,3,36
26-Jun,6,37
27-Jun,7,37
28-Jun,7,37
29-Jun,7,37
30-Jun,11,38
1-Jul,13,39
2-Jul,13,43
3-Jul,12,44
4-Jul,8,40
5-Jul,5,36
6-Jul,15,38
7-Jul,23,39
8-Jul,28,44
9-Jul,33,49
10-Jul,35,51
11-Jul,37,53
12-Jul,38,54
13-Jul,38,54
14-Jul,39,55
15-Jul,40,57
16-Jul,41,58
17-Jul,41,58
18-Jul,43,60
19-Jul,49,66
20-Jul,52,69
21-Jul,57,74
22-Jul,59,76
23-Jul,59,76
24-Jul,60,76
25-Jul,61,76
26-Jul,60,76
27-Jul,60,76
28-Jul,65,80
29-Jul,67,82
30-Jul,67,82
31-Jul,62,80
1-Aug,60,79
2-Aug,59,79
3-Aug,59,79
4-Aug,64,84
5-Aug,72,89
6-Aug,78,93
7-Aug,97,115
8-Aug,110,130
9-Aug,112,132
10-Aug,106,131
11-Aug,102,130
12-Aug,101,129
13-Aug,100,129
14-Aug,99,126
15-Aug,93,118
16-Aug,79,109
17-Aug,80,110
18-Aug,95,117
19-Aug,109,129
20-Aug,113,135
21-Aug,112,136
22-Aug,114,137
23-Aug,115,138
24-Aug,118,143
25-Aug,120,145
26-Aug,118,145
27-Aug,120,148
28-Aug,121,150
29-Aug,121,150
30-Aug,120,150
31-Aug,119,150
1-Sep,118,150
2-Sep,117,150
3-Sep,115,147
4-Sep,117,149
5-Sep,124,157
6-Sep,137,173
7-Sep,142,183
8-Sep,147,188
9-Sep,153,190
10-Sep,153,190
11-Sep,152,190
12-Sep,149,187
13-Sep,132,174
14-Sep,129,171
15-Sep,135,176
16-Sep,137,178
17-Sep,137,178
18-Sep,135,176
19-Sep,135,176
20-Sep,136,176
21-Sep,134,176
22-Sep,126,173
23-Sep,119,169
24-Sep,106,163
25-Sep,101,160
26-Sep,104,163
27-Sep,102,161
28-Sep,98,157
29-Sep,94,155
30-Sep,92,152
1-Oct,92,150
2-Oct,92,150
3-Oct,92,150
4-Oct,85,147
5-Oct,82,145
6-Oct,75,145
7-Oct,68,135
8-Oct,64,127
