,attraction,rainfall_station,month,avg_rainfall
0,Gippsland lakes,84030.0,1.0,66.4546875
1,Gippsland lakes,84030.0,2.0,59.76484375
2,Gippsland lakes,84030.0,3.0,66.05038759689923
3,Gippsland lakes,84030.0,4.0,73.87984496124031
4,Gippsland lakes,84030.0,5.0,70.29069767441861
5,Gippsland lakes,84030.0,6.0,84.96434108527131
6,Gippsland lakes,84030.0,7.0,67.56821705426356
7,Gippsland lakes,84030.0,8.0,59.17286821705427
8,Gippsland lakes,84030.0,9.0,70.85271317829458
9,Gippsland lakes,84030.0,10.0,77.14728682170542
10,Gippsland lakes,84030.0,11.0,72.27499999999999
11,Gippsland lakes,84030.0,12.0,78.06484375
0,St kilda,86131.0,1.0,44.42628205128205
1,St kilda,86131.0,2.0,46.905769230769224
2,St kilda,86131.0,3.0,49.990967741935485
3,St kilda,86131.0,4.0,55.26363636363635
4,St kilda,86131.0,5.0,55.64904458598726
5,St kilda,86131.0,6.0,52.49426751592358
6,St kilda,86131.0,7.0,50.29679487179488
7,St kilda,86131.0,8.0,58.271153846153844
8,St kilda,86131.0,9.0,62.050641025641035
9,St kilda,86131.0,10.0,66.90384615384616
10,St kilda,86131.0,11.0,62.56474358974361
11,St kilda,86131.0,12.0,56.0974193548387
0,Brighton Beach,87053.0,1.0,36.54769230769231
1,Brighton Beach,87053.0,2.0,41.5922480620155
2,Brighton Beach,87053.0,3.0,42.1921875
3,Brighton Beach,87053.0,4.0,51.781395348837215
4,Brighton Beach,87053.0,5.0,55.110077519379836
5,Brighton Beach,87053.0,6.0,54.103846153846156
6,Brighton Beach,87053.0,7.0,54.73538461538462
7,Brighton Beach,87053.0,8.0,57.27829457364341
8,Brighton Beach,87053.0,9.0,59.33769230769231
9,Brighton Beach,87053.0,10.0,58.103846153846156
10,Brighton Beach,87053.0,11.0,51.74153846153846
11,Brighton Beach,87053.0,12.0,45.629230769230766
0,Grampians,79010.0,1.0,23.48425925925926
1,Grampians,79010.0,2.0,27.348623853211006
2,Grampians,79010.0,3.0,22.087037037037028
3,Grampians,79010.0,4.0,29.137614678899087
4,Grampians,79010.0,5.0,43.93761467889908
5,Grampians,79010.0,6.0,46.20366972477065
6,Grampians,79010.0,7.0,49.93181818181817
7,Grampians,79010.0,8.0,49.40727272727272
8,Grampians,79010.0,9.0,44.6109090909091
9,Grampians,79010.0,10.0,41.70275229357798
10,Grampians,79010.0,11.0,32.925925925925924
11,Grampians,79010.0,12.0,27.82477064220183
0,Dandenong ranges,86131.0,1.0,44.42628205128205
1,Dandenong ranges,86131.0,2.0,46.905769230769224
2,Dandenong ranges,86131.0,3.0,49.990967741935485
3,Dandenong ranges,86131.0,4.0,55.26363636363635
4,Dandenong ranges,86131.0,5.0,55.64904458598726
5,Dandenong ranges,86131.0,6.0,52.49426751592358
6,Dandenong ranges,86131.0,7.0,50.29679487179488
7,Dandenong ranges,86131.0,8.0,58.271153846153844
8,Dandenong ranges,86131.0,9.0,62.050641025641035
9,Dandenong ranges,86131.0,10.0,66.90384615384616
10,Dandenong ranges,86131.0,11.0,62.56474358974361
11,Dandenong ranges,86131.0,12.0,56.0974193548387
0,Main Melbourne,86131.0,1.0,44.42628205128205
1,Main Melbourne,86131.0,2.0,46.905769230769224
